City_Name,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
matara,5.95,80.54,89.01,61.0,0.0,2.1,LK,1588477559.0
kudahuvadhoo,2.67,72.89,85.19,76.0,67.0,12.84,MV,1588477559.0
poum,-20.23,164.02,79.63,76.0,90.0,10.31,NC,1588477560.0
zeya,53.75,127.27,46.83,38.0,0.0,8.99,RU,1588477560.0
vestmannaeyjar,63.44,-20.27,36.99,77.0,6.0,6.64,IS,1588477560.0
daru,-9.08,143.21,82.9,85.0,62.0,12.06,PG,1588477560.0
hamilton,39.18,-84.53,72.0,56.0,20.0,9.17,US,1588477355.0
san policarpo,12.18,125.51,83.64,85.0,94.0,12.64,PH,1588477561.0
mihijam,23.85,86.88,89.4,40.0,0.0,6.17,IN,1588477561.0
samarai,-10.62,150.67,82.06,80.0,56.0,13.91,PG,1588477562.0
laguna,38.42,-121.42,66.2,68.0,1.0,11.41,US,1588477562.0
saldanha,-33.01,17.94,60.8,93.0,50.0,4.7,ZA,1588477506.0
mezen,65.85,44.24,32.76,93.0,97.0,5.44,RU,1588477562.0
avera,33.19,-82.53,60.8,93.0,1.0,4.85,US,1588477291.0
batagay-alyta,67.8,130.41,19.33,83.0,68.0,3.13,RU,1588477563.0
ambon,-3.7,128.18,89.6,70.0,40.0,6.93,ID,1588477563.0
dingle,11.0,122.67,95.27,46.0,82.0,11.1,PH,1588477564.0
abrau-dyurso,44.69,37.59,53.01,93.0,75.0,6.71,RU,1588477564.0
mosquera,4.71,-74.23,51.8,87.0,20.0,9.17,CO,1588477564.0
pont-sainte-maxence,49.3,2.6,50.0,61.0,98.0,8.05,FR,1588477564.0
pemba,-12.97,40.52,73.69,83.0,7.0,13.44,MZ,1588477565.0
pisco,-13.7,-76.22,66.99,82.0,51.0,11.41,PE,1588477565.0
lypnyazhka,48.45,31.08,53.13,82.0,37.0,4.94,UA,1588477566.0
isla mujeres,21.23,-86.73,80.6,83.0,75.0,5.82,MX,1588477388.0
ambilobe,-13.2,49.05,75.04,78.0,80.0,2.71,MG,1588477566.0
mahad,18.08,73.42,94.68,41.0,24.0,3.13,IN,1588477566.0
itaituba,-4.28,-55.98,73.9,87.0,100.0,1.86,BR,1588477567.0
salalah,17.02,54.09,84.2,89.0,75.0,1.12,OM,1588477567.0
lugo,43.0,-7.5,51.01,100.0,70.0,1.5,ES,1588477567.0
lubao,14.92,120.55,93.2,56.0,75.0,11.41,PH,1588477568.0
rancho palos verdes,33.74,-118.39,66.0,72.0,5.0,4.7,US,1588477301.0
chuy,-33.7,-53.46,54.12,81.0,7.0,3.36,UY,1588477568.0
ban bung,18.31,100.7,91.4,58.0,95.0,2.24,TH,1588477569.0
cidreira,-30.18,-50.21,59.11,80.0,4.0,4.25,BR,1588477569.0
bingol,38.88,40.49,50.25,49.0,11.0,1.9,TR,1588477364.0
nadym,65.53,72.52,27.12,98.0,100.0,11.25,RU,1588477569.0
naryan-mar,67.67,53.09,22.23,96.0,74.0,7.38,RU,1588477570.0
half moon bay,37.46,-122.43,63.0,93.0,90.0,5.03,US,1588477571.0
lac du bonnet,50.25,-96.06,34.0,73.0,95.0,7.0,CA,1588477571.0
quatre cocos,-20.21,57.76,75.99,94.0,75.0,9.17,MU,1588477571.0
naumburg,51.15,11.82,44.01,85.0,47.0,9.86,DE,1588477572.0
kenora,49.82,-94.43,35.01,69.0,90.0,13.87,CA,1588477358.0
vuktyl,63.86,57.31,28.85,94.0,89.0,9.33,RU,1588477572.0
aksarka,66.56,67.8,23.49,97.0,100.0,11.12,RU,1588477573.0
imbituba,-28.24,-48.67,64.4,68.0,11.0,9.17,BR,1588477329.0
coihaique,-45.58,-72.07,44.6,87.0,90.0,4.7,CL,1588477573.0
bonaberi,4.08,9.68,77.0,94.0,40.0,1.12,CM,1588477573.0
kavieng,-2.57,150.8,83.01,75.0,100.0,4.29,PG,1588477573.0
verkhnyaya inta,65.98,60.31,25.61,94.0,99.0,10.74,RU,1588477574.0
sitka,57.05,-135.33,48.2,81.0,90.0,14.99,US,1588477574.0
yulara,-25.24,130.99,68.0,40.0,0.0,16.11,AU,1588477574.0
nouadhibou,20.93,-17.03,62.6,93.0,75.0,13.87,MR,1588477558.0
havre-saint-pierre,50.23,-63.6,32.0,84.0,0.0,3.36,CA,1588477575.0
gizo,-8.1,156.84,85.89,69.0,28.0,3.85,SB,1588477575.0
ariquemes,-9.91,-63.04,72.59,87.0,58.0,1.28,BR,1588477554.0
soyo,-6.13,12.37,77.52,92.0,90.0,5.84,AO,1588477576.0
khatanga,71.97,102.5,21.25,95.0,78.0,3.11,RU,1588477576.0
los llanos de aridane,28.66,-17.92,68.0,68.0,75.0,4.7,ES,1588477576.0
teahupoo,-17.83,-149.27,86.0,70.0,55.0,11.41,PF,1588477576.0
umm lajj,25.02,37.27,83.23,29.0,22.0,11.1,SA,1588477576.0
hanover,52.37,9.73,46.0,93.0,40.0,5.82,DE,1588477515.0
brigantine,39.41,-74.36,62.6,48.0,75.0,9.17,US,1588477577.0
kieta,-6.22,155.63,83.89,73.0,43.0,3.2,PG,1588477577.0
anadyr,64.75,177.48,21.2,92.0,40.0,2.24,RU,1588477577.0
urubicha,-15.38,-62.95,71.92,81.0,61.0,1.63,BO,1588477577.0
gat,31.61,34.76,57.99,67.0,16.0,3.58,IL,1588477578.0
jishu,44.32,126.8,50.11,79.0,100.0,7.54,CN,1588477578.0
belaya gora,68.53,146.42,23.97,95.0,99.0,14.14,RU,1588477578.0
beringovskiy,63.05,179.32,29.25,96.0,97.0,5.46,RU,1588477283.0
tuburan,6.64,122.27,86.0,79.0,75.0,13.87,PH,1588477579.0
birao,10.28,22.79,76.06,36.0,100.0,2.84,CF,1588477579.0
puerto madryn,-42.77,-65.04,59.2,52.0,27.0,14.5,AR,1588477579.0
makasar,-5.14,119.42,87.8,66.0,20.0,3.36,ID,1588477490.0
hohhot,40.81,111.65,69.8,26.0,75.0,11.18,CN,1588477580.0
kijang,35.24,129.21,62.6,82.0,90.0,10.29,KR,1588477580.0
nome,64.5,-165.41,46.4,52.0,1.0,8.05,US,1588477580.0
antofagasta,-23.65,-70.4,57.2,82.0,64.0,3.36,CL,1588477580.0
letlhakeng,-24.09,25.03,58.01,39.0,0.0,3.13,BW,1588477581.0
okhotsk,59.38,143.3,34.36,96.0,100.0,18.68,RU,1588477323.0
bosaso,11.28,49.18,88.65,61.0,80.0,3.49,SO,1588477581.0
saint-joseph,-21.37,55.62,73.4,60.0,18.0,6.93,RE,1588477581.0
killarney,52.05,-9.52,45.46,91.0,100.0,4.29,IE,1588477582.0
nanortalik,60.14,-45.24,35.64,93.0,100.0,22.24,GL,1588477582.0
skjervoy,70.03,20.97,37.58,78.0,78.0,12.5,NO,1588477582.0
prince rupert,54.32,-130.32,46.4,82.0,90.0,12.75,CA,1588477534.0
sambava,-14.27,50.17,76.28,78.0,9.0,8.3,MG,1588477582.0
ahipara,-35.17,173.17,65.3,91.0,100.0,15.88,NZ,1588477583.0
mirabad,30.44,61.84,80.01,32.0,0.0,1.66,AF,1588477583.0
angostura,25.37,-108.18,72.0,71.0,80.0,1.99,MX,1588477583.0
