,City_Name,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
326,tuburan,6.64,122.27,86,79,75,13.87,PH,1588477579
327,birao,10.28,22.79,76.06,36,100,2.84,CF,1588477579
328,puerto madryn,-42.77,-65.04,59.2,52,27,14.5,AR,1588477579
329,makasar,-5.14,119.42,87.8,66,20,3.36,ID,1588477490
330,hohhot,40.81,111.65,69.8,26,75,11.18,CN,1588477580
331,kijang,35.24,129.21,62.6,82,90,10.29,KR,1588477580
332,grand river south east,,,,,,,,
333,nome,64.5,-165.41,46.4,52,1,8.05,US,1588477580
334,antofagasta,-23.65,-70.4,57.2,82,64,3.36,CL,1588477580
335,letlhakeng,-24.09,25.03,58.01,39,0,3.13,BW,1588477581
336,okhotsk,59.38,143.3,34.36,96,100,18.68,RU,1588477323
337,bosaso,11.28,49.18,88.65,61,80,3.49,SO,1588477581
338,saint-joseph,-21.37,55.62,73.4,60,18,6.93,RE,1588477581
339,killarney,52.05,-9.52,45.46,91,100,4.29,IE,1588477582
340,nanortalik,60.14,-45.24,35.64,93,100,22.24,GL,1588477582
341,skjervoy,70.03,20.97,37.58,78,78,12.5,NO,1588477582
342,prince rupert,54.32,-130.32,46.4,82,90,12.75,CA,1588477534
343,sambava,-14.27,50.17,76.28,78,9,8.3,MG,1588477582
344,ahipara,-35.17,173.17,65.3,91,100,15.88,NZ,1588477583
345,mirabad,30.44,61.84,80.01,32,0,1.66,AF,1588477583
346,angostura,25.37,-108.18,72,71,80,1.99,MX,1588477583
347,asau,46.43,26.4,51.01,78,56,3.2,RO,1588477583
348,hailar,49.2,119.7,49.33,34,100,7.27,CN,1588477584
349,rabo de peixe,37.8,-25.58,57.2,71,40,5.82,PT,1588477584
350,takoradi,4.88,-1.76,80.64,88,78,5.99,GH,1588477584
351,raychikhinsk,49.78,129.41,47.05,43,100,12.55,RU,1588477584
352,narsipatnam,17.67,82.62,87.8,74,20,11.41,IN,1588477585
353,usukhchay,41.42,47.91,55.4,93,40,2.24,RU,1588477585
354,arica,-18.48,-70.3,63.27,82,100,1.74,CL,1588477544
355,mount isa,-20.73,139.5,75.2,16,0,10.29,AU,1588477585
356,tautira,-17.73,-149.15,86,70,56,11.41,PF,1588477586
357,brae,60.4,-1.35,35.6,74,22,6.93,GB,1588477586
358,ola,59.58,151.28,34.77,83,100,34.63,RU,1588477586
359,cap malheureux,-19.98,57.61,75.99,82,13,7,MU,1588477586
360,beipiao,41.79,120.78,66.7,40,94,16.02,CN,1588477587
361,kununurra,-15.77,128.73,82.4,17,72,12.75,AU,1588477587
362,husavik,66.04,-17.34,23,85,0,4.7,IS,1588477587
363,ketchikan,55.34,-131.65,46.4,100,90,13.87,US,1588477588
364,santa flavia,38.09,13.54,68,75,50,7.72,IT,1588477588
365,tricase,39.93,18.36,50,93,5,5.77,IT,1588477589
366,kathmandu,27.72,85.32,68,82,75,2.24,NP,1588477317
367,kibala,9.11,18.35,82.4,58,66,9.24,TD,1588477589
368,chernyshevskiy,63.01,112.47,37.27,64,100,5.32,RU,1588477589
369,kristiansund,63.11,7.73,41,80,100,18.34,NO,1588477589
370,balkanabat,39.51,54.37,75.04,39,93,14.76,TM,1588477590
371,songjianghe,42.19,127.48,76.78,30,1,5.86,CN,1588477590
372,vao,-22.67,167.48,77.4,85,57,14.45,NC,1588477590
373,chagda,,,,,,,,
374,starobaltachevo,56,55.92,41.23,68,95,7.02,RU,1588477590
375,aswan,24.09,32.91,80.6,17,40,4.94,EG,1588477591
376,port lincoln,-34.73,135.87,61.47,67,91,9.22,AU,1588477369
377,suntar,62.14,117.63,42.12,55,6,5.5,RU,1588477591
378,piranhas,-16.43,-51.82,67.44,67,79,2.46,BR,1588477591
379,berlevag,70.86,29.09,34.18,88,90,11.7,NO,1588477592
380,chulman,56.85,124.91,31.78,68,99,6.78,RU,1588477592
381,tessalit,20.2,1.01,76.12,16,0,5.59,ML,1588477592
382,krasnaya gora,53,31.6,53.6,87,75,2.24,RU,1588477592
383,grindavik,63.84,-22.43,32,70,32,6.93,IS,1588477592
384,iquique,-20.22,-70.14,64.4,68,86,4.7,CL,1588477491
385,faya,18.39,42.45,62.6,87,26,0.27,SA,1588477593
386,sabya,17.15,42.63,84.2,83,20,3.36,SA,1588477593
387,attawapiskat,,,,,,,,
388,saint-pierre,-21.34,55.48,73.4,60,0,6.93,RE,1588477593
389,tamandare,-8.76,-35.1,78.24,81,43,4.45,BR,1588477594
390,sirajganj,24.45,89.72,83.3,58,0,3.27,BD,1588477334
391,ayan,56.45,138.17,35.8,74,100,25.7,RU,1588477594
392,voznesenye,61.01,35.48,42.12,80,100,10.78,RU,1588477594
393,tomislavgrad,43.72,17.23,41.97,64,24,5.99,BA,1588477595
394,labuhan,-6.88,112.21,85.05,70,100,5.23,ID,1588477595
395,vaitape,-16.52,-151.75,82.99,77,74,14.72,PF,1588477595
396,beira,-19.84,34.84,68,94,12,5.82,MZ,1588477595
397,inirida,3.87,-67.92,75.43,94,100,2.33,CO,1588477596
398,ikot ekpene,5.18,7.71,76.32,93,75,2.19,NG,1588477596
399,manjacaze,-24.71,33.88,62.83,95,4,4.74,MZ,1588477596
400,bud,39.45,-86.18,70,68,1,4.7,US,1588477596
401,kapuskasing,49.42,-82.43,42.8,100,90,3.06,CA,1588477597
